,wellLon,wellLat,eqLon,eqLat,eqNr,mag,M0Synt,syntLoc,geometry
2,-120.89845,56.06971,-120.89764850203314,56.06956950860128,17,2.393136348319798,3887805434320.272,"56 4m 10.4502s N, 120 53m 51.5346s W",POINT (630872.3778283555 6215815.079985666)
15,-122.05623,57.07607,-122.06928669349836,57.07030420844716,7,2.940625669099876,25759563742618.367,"57 4m 13.0952s N, 122 4m 9.4321s W",POINT (556431.1845684589 6325596.612157552)
37,-122.24257,56.89443000000001,-122.22899255236848,56.89644786005497,16,2.715214821551543,11825574061059.523,"56 53m 47.2123s N, 122 13m 44.3732s W",POINT (546966.5058427221 6306123.794997366)
38,-122.70453,57.37299,-122.69969656851391,57.37014547344842,14,2.251316773317153,2382183213468.7554,"57 22m 12.5237s N, 122 41m 58.9076s W",POINT (518061.26125587255 6358629.872856196)
48,-120.8592,56.05964,-120.8588055336363,56.06131719214279,1,2.417876994117056,4234630207198.901,"56 3m 40.7419s N, 120 51m 31.6999s W",POINT (633318.4345586714 6214971.167460869)
58,-122.14139,56.399,-122.14017140944472,56.41549013333388,0,2.6306469999119697,8830199178721.607,"56 24m 55.7645s N, 122 8m 24.6171s W",POINT (553048.1179393483 6252655.686447616)
63,-120.97362,56.08093,-120.95686666018716,56.06606671117226,1,2.515334582751675,5929278832587.479,"56 3m 57.8402s N, 120 57m 24.72s W",POINT (627198.153042389 6215314.637085752)
67,-120.67351,56.01505,-120.66601107441976,56.01675346874334,2,2.289002536147669,2713337419644.358,"56 1m 0.312487s N, 120 39m 57.6399s W",POINT (645487.7311229444 6210401.9131459175)
118,-120.68885,55.92112,-120.6820597798675,55.91716221229649,20,2.871947678544956,20319897730150.25,"55 55m 1.78396s N, 120 40m 55.4152s W",POINT (644859.2509149478 6199287.434991427)
126,-121.72362,56.32615,-121.71645989925774,56.32593168903001,50,2.525063350882518,6131899472324.351,"56 19m 33.3541s N, 121 42m 59.2556s W",POINT (579374.0219574021 6243095.80246768)
143,-121.87841,56.21954,-121.87761961901415,56.22398186454959,31,2.287984014135167,2703809073979.287,"56 13m 26.3347s N, 121 52m 39.4306s W",POINT (569593.3288609602 6231575.237624832)
214,-120.48118,55.99941999999999,-120.4726889091153,56.00146754747988,6,3.8477296014424542,591009418748521.0,"56 0m 5.28317s N, 120 28m 21.6801s W",POINT (657597.7657825146 6209125.310497374)
223,-121.94162,56.74736,-121.9543769676502,56.74286857616979,13,2.7360944581585067,12709886937243.834,"56 44m 34.3269s N, 121 57m 15.7571s W",POINT (563955.3976656251 6289251.864669188)
293,-120.61559,55.76044,-120.63198058498612,55.76724365573493,9,2.5516833524335785,6722410496484.116,"55 46m 2.07716s N, 120 37m 55.1301s W",POINT (648559.0635506932 6182713.632745076)
327,-118.27288,54.34211,-118.28034454957938,54.34788976880995,12,2.4801015291840103,5249915264269.449,"54 20m 52.4032s N, 118 16m 49.2404s W",POINT (806674.756417875 6032502.493078221)
334,-122.10104,57.3907,-122.09912282862668,57.37075280245204,14,3.6735395848874433,323824256702528.6,"57 22m 14.7101s N, 122 5m 56.8422s W",POINT (554180.0669097484 6359016.352072097)
371,-121.99897,56.90717,-122.01321034846356,56.897585474782005,2,2.749641446032085,13318710193261.623,"56 53m 51.3077s N, 122 0m 47.5573s W",POINT (560108.7497105136 6306419.331526034)
441,-120.56294,55.97462,-120.55477761340153,55.97259313473616,8,2.473288193041638,5127814304961.146,"55 58m 21.3353s N, 120 33m 17.1994s W",POINT (652593.786512976 6205728.5403340375)
446,-120.17329,55.58916,-120.18317249777594,55.58429835833861,0,2.282405369529748,2652210892155.9565,"55 35m 3.47409s N, 120 10m 59.421s W",POINT (677534.5985853142 6163416.053638165)
466,-120.65468,55.84936,-120.640827124239,55.86962173458338,7,2.257913237256572,2437080394169.3184,"55 52m 10.6382s N, 120 38m 26.9776s W",POINT (647615.9742017664 6194085.203171686)
467,-120.59268,55.73644,-120.63202785712066,55.72954464449598,43,2.254910749457649,2411937912910.716,"55 43m 46.3607s N, 120 37m 55.3003s W",POINT (648699.4639384672 6178519.218312268)
473,-121.14278,56.01242,-121.14560350856524,56.011216594180816,3,2.2608680250188518,2462079304041.652,"56 0m 40.3797s N, 121 8m 44.1726s W",POINT (615613.5985328786 6208879.4663995635)
481,-121.07424,55.96878,-121.07094234028246,55.96969300243557,9,3.056098286639678,38383752471297.87,"55 58m 10.8948s N, 121 4m 15.3924s W",POINT (620396.7559878121 6204386.447509159)
507,-121.84682,56.24547,-121.85633292846688,56.24294308242319,14,2.531877802924976,6277933403608.297,"56 14m 34.5951s N, 121 51m 22.7985s W",POINT (570878.125160008 6233707.18677671)
511,-120.37787,55.9417,-120.36174068066872,55.94360083465521,2,2.4910296891042165,5451857975554.428,"55 56m 36.963s N, 120 21m 42.2665s W",POINT (664760.3220363914 6202946.148875003)
524,-121.91716,56.70502,-121.92254543126462,56.71082805055777,14,3.107175234181015,45789178427946.41,"56 42m 38.981s N, 121 55m 21.1636s W",POINT (565958.3548794793 6285715.836941255)
560,-120.14978,55.59528,-120.17754005893106,55.593711838048335,13,2.598024311833639,7889263610615.962,"55 35m 37.3626s N, 120 10m 39.1442s W",POINT (677846.8954046379 6164477.638262115)
599,-121.72362,56.32615,-121.70990174934974,56.3227437850287,9,2.558556765551325,6883909438649.196,"56 19m 21.8776s N, 121 42m 35.6463s W",POINT (579786.2003068561 6242748.594129613)
637,-122.15728,57.42645,-122.13049728163958,57.42424827335051,12,2.3484889275675505,3332217887374.1064,"57 25m 27.2938s N, 122 7m 49.7902s W",POINT (552217.0865588288 6364946.75845906)
654,-120.03411,55.59756,-120.05366728703312,55.60329095481749,9,2.2812847355700248,2641965264309.664,"55 36m 11.8474s N, 120 3m 13.2022s W",POINT (685604.5953680207 6165867.557962124)
695,-120.63718,56.0335,-120.60812304640056,56.03320172824122,12,2.6431312008364607,9219275670766.75,"56 1m 59.5262s N, 120 36m 29.243s W",POINT (649031.9761974124 6212355.409536771)
730,-120.67152,55.8041,-120.67465571043756,55.80611167191377,0,2.46373284668653,4961343196731.201,"55 48m 22.002s N, 120 40m 28.7606s W",POINT (645737.143662861 6186947.388891978)
751,-119.70443,55.75849,-119.72065309234094,55.76346593015278,1,3.4377188662701776,143409624745839.6,"55 45m 48.4773s N, 119 43m 14.3511s W",POINT (705731.8866630889 6184624.058166484)
792,-121.43672,56.44248,-121.43744730452909,56.443882431046006,17,2.319201971278685,3011639307922.0054,"56 26m 37.9768s N, 121 26m 14.8103s W",POINT (596328.4476807282 6256579.010294095)
815,-122.24257,56.89443000000001,-122.22834483050964,56.88405354299445,29,2.492689216352908,5483196685085.71,"56 53m 2.59275s N, 122 13m 42.0414s W",POINT (547021.5257038055 6304744.637221108)
852,-120.43252,55.75353000000001,-120.41290687396103,55.7592802436496,6,2.409865022033125,4119054450886.3774,"55 45m 33.4089s N, 120 24m 46.4647s W",POINT (662332.5905157018 6182319.224423449)
871,-120.58976,55.91716,-120.59322948428816,55.96344667830265,27,3.2037267553478257,63913136823927.125,"55 57m 48.408s N, 120 35m 35.6261s W",POINT (650230.1803174806 6204626.668397491)
883,-120.1337,55.88786,-120.12394284256254,55.88899347851888,26,2.81296155922814,16574572620990.404,"55 53m 20.3765s N, 120 7m 26.1942s W",POINT (679859.1937627804 6197463.771960653)
890,-121.78284,56.68442,-121.77745317756612,56.69015333086166,1,2.352381701761161,3377322650194.3003,"56 41m 24.552s N, 121 46m 38.8314s W",POINT (574880.9837564665 6283563.77634081)
895,-119.90001,55.88646,-119.90380872775354,55.88770208776491,2,2.4385787345739973,4548498982143.314,"55 53m 15.7275s N, 119 54m 13.7114s W",POINT (693627.2961186199 6197914.493529781)
896,-120.22492,55.89456,-120.179024795345,55.93230298590712,3,2.609897951884184,8219528919677.375,"55 55m 56.2907s N, 120 10m 44.4893s W",POINT (676218.9795534584 6202139.896904392)
935,-121.97315,57.33139,-121.9722481917337,57.33138303639897,5,2.895487205362141,22040975308460.12,"57 19m 52.9789s N, 121 58m 20.0935s W",POINT (561876.3678422788 6354742.102137791)
949,-120.27858,55.69008,-120.28788133574508,55.70196781043991,0,2.8104336220416544,16430486884177.258,"55 42m 7.08412s N, 120 17m 16.3728s W",POINT (670425.0767214447 6176243.443198477)
973,-120.5558,56.00887,-120.55413324214264,56.01044520771387,11,3.268202904891774,79855412486881.05,"56 0m 37.6027s N, 120 33m 14.8797s W",POINT (652484.8709602504 6209941.354658685)
1002,-120.53395,55.91661,-120.57498829525667,55.95062062136832,14,2.512675041048403,5875063453703.309,"55 57m 2.23424s N, 120 34m 29.9579s W",POINT (651418.6158066313 6203239.44954892)
1004,-122.25617,56.92298,-122.25488508413362,56.91743461130048,23,2.3865572590919384,3800457573494.341,"56 55m 2.7646s N, 122 15m 17.5863s W",POINT (545363.8261397559 6308442.3458928)
1010,-122.19521,56.77346,-122.20822928604578,56.77002848738882,0,3.043828081609728,36791044903374.85,"56 46m 12.1026s N, 122 12m 29.6254s W",POINT (548394.0683606889 6292066.747200525)
1034,-120.56448,55.88508,-120.5941167052166,55.87753484507755,2,2.2648460598969047,2496140862435.0605,"55 52m 39.1254s N, 120 35m 38.8201s W",POINT (650507.4445975824 6195066.244202944)
1058,-121.89008,57.02884,-121.8842326151304,57.04329244784033,2,2.86402755599028,19771578071885.195,"57 2m 35.8528s N, 121 53m 3.23741s W",POINT (567700.0292257088 6322758.191878385)
1077,-120.16438,55.83304,-120.1593593363682,55.842472397876215,0,3.226508457774808,69145303411585.2,"55 50m 32.9006s N, 120 9m 33.6936s W",POINT (677857.5911920643 6192197.040140784)
1112,-121.15575,55.96709,-121.15894882063128,55.96692179045903,8,2.4930521419292555,5490074184626.846,"55 58m 0.918446s N, 121 9m 32.2158s W",POINT (614913.0137806177 6203928.282612451)
1145,-122.85378,57.3421,-122.85648424300264,57.350249389778256,14,2.462727097743705,4944138710454.785,"57 21m 0.897803s N, 122 51m 23.3433s W",POINT (508636.20615600405 6356384.250825044)
