OBJECTID *,Shape *,Field1,index,DT_UTC_ts,mag,lat,lon,source,time_diff,duplicate,geometry
1,Point,00:00.0,0,55:36.5,1.2,57.0303,-121.9101,nrcan,<Null>,0,POINT (-121.9101 57.0303)
2,Point,00:00.0,1,00:10.0,1.2,56.0223,-121.2074,nrcan,176673.472,0,POINT (-121.2074 56.0223)
3,Point,00:00.0,2,40:21.7,1,57.0442,-122.6444,nrcan,160811.65,0,POINT (-122.6444 57.0442)
4,Point,00:00.0,3,06:40.8,1.2,57.0287,-122.0836,nrcan,62779.154,0,POINT (-122.0836 57.0287)
7,Point,00:00.0,6,53:33.8,1.7,56.4795,-122.33,nrcan,139200.959,0,POINT (-122.33 56.4795)
8,Point,00:00.0,7,59:04.5,1.2,57.3948,-122.2583,nrcan,21930.697,0,POINT (-122.2583 57.3948)
9,Point,00:00.0,8,56:23.4,1.2,57.0495,-122.075,nrcan,68238.879,0,POINT (-122.075 57.0495)
10,Point,00:00.0,9,37:54.7,1.2,56.4839,-122.268,nrcan,13291.374,0,POINT (-122.268 56.4839)
11,Point,00:00.0,10,45:26.4,1.2,57.3194,-122.6449,nrcan,25651.652,0,POINT (-122.6449 57.3194)
12,Point,00:00.0,11,03:15.3,1.8,57.3088,-122.6279,nrcan,4668.898,0,POINT (-122.6279 57.3088)
14,Point,00:00.0,13,36:46.7,1.1,57.3468,-122.6422,nrcan,63082.707,0,POINT (-122.6422 57.3468)
15,Point,00:00.0,14,34:56.6,2,57.3507,-122.4775,nrcan,3489.829,0,POINT (-122.4775 57.3507)
16,Point,00:00.0,15,40:22.9,1.6,57.3248,-122.7729,nrcan,54326.289,0,POINT (-122.7729 57.3248)
17,Point,00:00.0,16,52:03.6,1.6,57.3221,-122.6693,nrcan,11500.738,0,POINT (-122.6693 57.3221)
18,Point,00:00.0,17,10:52.0,1.8,57.3093,-122.7969,nrcan,1128.378,0,POINT (-122.7969 57.3093)
19,Point,00:00.0,18,25:25.1,1.4,57.4092,-122.2263,nrcan,873.127,0,POINT (-122.2263 57.4092)
20,Point,00:00.0,19,13:40.4,1.3,57.2847,-122.567,nrcan,6495.27,0,POINT (-122.567 57.2847)
22,Point,00:00.0,21,04:42.3,1.8,57.3895,-122.2721,nrcan,6277.123,0,POINT (-122.2721 57.3895)
23,Point,00:00.0,22,22:34.6,1.5,57.3002,-122.6701,nrcan,15472.28,0,POINT (-122.6701 57.3002)
24,Point,00:00.0,23,44:48.2,1.5,57.3136,-122.7822,nrcan,80533.628,0,POINT (-122.7822 57.3136)
25,Point,00:00.0,24,13:34.0,0.9,57.2861,-122.6224,nrcan,84525.737,0,POINT (-122.6224 57.2861)
26,Point,00:00.0,25,09:21.1,1.1,57.2784,-122.6469,nrcan,3347.18,0,POINT (-122.6469 57.2784)
27,Point,00:00.0,26,30:14.8,1.2,57.3076,-122.5796,nrcan,12053.71,0,POINT (-122.5796 57.3076)
28,Point,00:00.0,27,43:38.9,2,57.3343,-122.4163,nrcan,36804.026,0,POINT (-122.4163 57.3343)
29,Point,00:00.0,28,52:03.7,0.8,57.3222,-122.5068,nrcan,36504.784,0,POINT (-122.5068 57.3222)
30,Point,00:00.0,29,26:57.4,1,57.246,-122.6159,nrcan,27293.753,0,POINT (-122.6159 57.246)
31,Point,00:00.0,30,53:31.6,0.8,57.3042,-122.624,nrcan,12394.179,0,POINT (-122.624 57.3042)
32,Point,00:00.0,31,14:27.1,1.2,57.3018,-122.6013,nrcan,69655.53,0,POINT (-122.6013 57.3018)
34,Point,00:00.0,33,46:06.2,1.6,57.0479,-122.0096,nrcan,65214.602,0,POINT (-122.0096 57.0479)
37,Point,00:00.0,36,53:26.1,1,57.3478,-122.6203,nrcan,9943.805,0,POINT (-122.6203 57.3478)
38,Point,00:00.0,37,24:34.9,1.8,57.2931,-122.7185,nrcan,5468.749,0,POINT (-122.7185 57.2931)
39,Point,00:00.0,38,36:56.0,1.2,56.4136,-121.8651,nrcan,11541.181,0,POINT (-121.8651 56.4136)
40,Point,00:00.0,39,26:52.2,1.1,56.0966,-120.9437,nrcan,13796.162,0,POINT (-120.9437 56.0966)
41,Point,00:00.0,40,37:06.8,1.3,56.9035,-122.0134,nrcan,25814.551,0,POINT (-122.0134 56.9035)
42,Point,00:00.0,41,54:47.8,1.2,57.015,-122.2315,nrcan,11860.994,0,POINT (-122.2315 57.015)
43,Point,00:00.0,42,28:43.0,1.1,57.3109,-122.7127,nrcan,5635.271,0,POINT (-122.7127 57.3109)
44,Point,00:00.0,43,45:50.1,1,57.2759,-122.7903,nrcan,1027.037,0,POINT (-122.7903 57.2759)
45,Point,00:00.0,44,19:23.4,1.2,57.0043,-122.2122,nrcan,16413.388,0,POINT (-122.2122 57.0043)
46,Point,00:00.0,45,30:04.3,2.4,57.2985,-122.7524,nrcan,29440.879,0,POINT (-122.7524 57.2985)
47,Point,00:00.0,46,32:02.2,1.5,57.3127,-122.5799,nrcan,117.894,0,POINT (-122.5799 57.3127)
48,Point,00:00.0,47,42:50.3,1.2,57.3145,-122.7669,nrcan,648.08,0,POINT (-122.7669 57.3145)
49,Point,00:00.0,48,59:41.1,1.9,56.3028,-121.9363,nrcan,1010.822,0,POINT (-121.9363 56.3028)
50,Point,00:00.0,49,51:46.2,1.4,57.2996,-122.7842,nrcan,3125.057,0,POINT (-122.7842 57.2996)
51,Point,00:00.0,50,44:25.6,1.1,57.3547,-122.7847,nrcan,13959.42,0,POINT (-122.7847 57.3547)
52,Point,00:00.0,51,14:05.8,1,57.4609,-122.5986,nrcan,253780.225,0,POINT (-122.5986 57.4609)
53,Point,00:00.0,52,20:58.4,1.2,57.2097,-122.591,nrcan,25612.548,0,POINT (-122.591 57.2097)
54,Point,00:00.0,53,26:58.0,1,57.2836,-122.6338,nrcan,43559.671,0,POINT (-122.6338 57.2836)
55,Point,00:00.0,54,03:16.6,1.4,57.2177,-122.5658,nrcan,56178.56,0,POINT (-122.5658 57.2177)
56,Point,00:00.0,55,24:03.4,1.4,57.2011,-122.5375,nrcan,26446.771,0,POINT (-122.5375 57.2011)
57,Point,00:00.0,56,32:09.3,0.9,57.1956,-122.7612,nrcan,485.937,0,POINT (-122.7612 57.1956)
60,Point,00:00.0,59,30:09.8,1.6,57.2127,-122.5658,nrcan,59878.94,0,POINT (-122.5658 57.2127)
61,Point,00:00.0,60,20:12.4,1.1,57.2369,-122.5664,nrcan,17402.659,0,POINT (-122.5664 57.2369)
62,Point,00:00.0,61,52:37.1,1.1,57.219,-122.6292,nrcan,52344.691,0,POINT (-122.6292 57.219)
64,Point,00:00.0,63,16:31.3,0.4,57.2454,-122.7492,nrcan,21370.233,0,POINT (-122.7492 57.2454)
65,Point,00:00.0,64,29:51.0,1.2,57.2008,-122.6845,nrcan,18799.645,0,POINT (-122.6845 57.2008)
68,Point,00:00.0,67,23:49.8,0.9,57.0123,-122.3147,nrcan,69304.217,0,POINT (-122.3147 57.0123)
69,Point,00:00.0,68,32:36.1,1,57.0151,-122.2283,nrcan,40126.286,0,POINT (-122.2283 57.0151)
71,Point,00:00.0,70,53:15.5,1.3,55.8767,-120.533,nrcan,22601.896,0,POINT (-120.533 55.8767)
72,Point,00:00.0,71,03:26.7,0.6,57.2684,-122.8219,nrcan,51011.161,0,POINT (-122.8219 57.2684)
74,Point,00:00.0,73,23:05.0,1.1,56.4965,-122.1432,nrcan,227201.562,0,POINT (-122.1432 56.4965)
75,Point,00:00.0,74,32:48.1,1.2,55.5879,-120.8276,nrcan,58183.112,0,POINT (-120.8276 55.5879)
76,Point,00:00.0,75,07:04.0,1.3,55.5178,-120.8451,nrcan,16455.974,0,POINT (-120.8451 55.5178)
77,Point,00:00.0,76,26:50.7,1.1,56.3854,-120.5201,nrcan,8386.625,0,POINT (-120.5201 56.3854)
78,Point,00:00.0,77,58:00.5,1.2,55.5873,-120.7165,nrcan,16269.866,0,POINT (-120.7165 55.5873)
80,Point,00:00.0,79,28:44.4,0.7,57.2559,-121.8855,nrcan,9890.846,0,POINT (-121.8855 57.2559)
81,Point,00:00.0,80,19:03.3,0.8,57.28,-122.8071,nrcan,10218.852,0,POINT (-122.8071 57.28)
82,Point,00:00.0,81,54:54.9,1.7,57.2071,-122.5946,nrcan,178551.639,0,POINT (-122.5946 57.2071)
85,Point,00:00.0,84,16:26.5,1.2,56.6839,-121.592,nrcan,108323.716,0,POINT (-121.592 56.6839)
86,Point,00:00.0,85,57:42.3,1.5,55.5133,-120.6344,nrcan,88875.821,0,POINT (-120.6344 55.5133)
