,FID,geometry,sim_0
0,0,"POLYGON ((65125.86896790686 6612085.416192899, 85125.86896790686 6612085.416192899, 85125.86896790686 6592085.416192899, 65125.86896790686 6592085.416192899, 65125.86896790686 6612085.416192899))",0.0
1,1,"POLYGON ((65125.86896790686 6592085.416192899, 85125.86896790686 6592085.416192899, 85125.86896790686 6572085.416192899, 65125.86896790686 6572085.416192899, 65125.86896790686 6592085.416192899))",0.0
2,2,"POLYGON ((65125.86896790686 6572085.416192899, 85125.86896790686 6572085.416192899, 85125.86896790686 6552085.416192899, 65125.86896790686 6552085.416192899, 65125.86896790686 6572085.416192899))",0.0
3,3,"POLYGON ((65125.86896790686 6552085.416192899, 85125.86896790686 6552085.416192899, 85125.86896790686 6532085.416192899, 65125.86896790686 6532085.416192899, 65125.86896790686 6552085.416192899))",0.0
4,4,"POLYGON ((65125.86896790686 6532085.416192899, 85125.86896790686 6532085.416192899, 85125.86896790686 6512085.416192899, 65125.86896790686 6512085.416192899, 65125.86896790686 6532085.416192899))",0.0
5,5,"POLYGON ((65125.86896790686 6512085.416192899, 85125.86896790686 6512085.416192899, 85125.86896790686 6492085.416192899, 65125.86896790686 6492085.416192899, 65125.86896790686 6512085.416192899))",0.0
6,6,"POLYGON ((65125.86896790686 6492085.416192899, 85125.86896790686 6492085.416192899, 85125.86896790686 6472085.416192899, 65125.86896790686 6472085.416192899, 65125.86896790686 6492085.416192899))",0.0
7,7,"POLYGON ((65125.86896790686 6472085.416192899, 85125.86896790686 6472085.416192899, 85125.86896790686 6452085.416192899, 65125.86896790686 6452085.416192899, 65125.86896790686 6472085.416192899))",0.0
8,8,"POLYGON ((65125.86896790686 6452085.416192899, 85125.86896790686 6452085.416192899, 85125.86896790686 6432085.416192899, 65125.86896790686 6432085.416192899, 65125.86896790686 6452085.416192899))",0.0
9,9,"POLYGON ((65125.86896790686 6432085.416192899, 85125.86896790686 6432085.416192899, 85125.86896790686 6412085.416192899, 65125.86896790686 6412085.416192899, 65125.86896790686 6432085.416192899))",0.0
10,10,"POLYGON ((65125.86896790686 6412085.416192899, 85125.86896790686 6412085.416192899, 85125.86896790686 6392085.416192899, 65125.86896790686 6392085.416192899, 65125.86896790686 6412085.416192899))",0.0
11,11,"POLYGON ((65125.86896790686 6392085.416192899, 85125.86896790686 6392085.416192899, 85125.86896790686 6372085.416192899, 65125.86896790686 6372085.416192899, 65125.86896790686 6392085.416192899))",0.0
12,12,"POLYGON ((65125.86896790686 6372085.416192899, 85125.86896790686 6372085.416192899, 85125.86896790686 6352085.416192899, 65125.86896790686 6352085.416192899, 65125.86896790686 6372085.416192899))",0.0
